"","ENTREZID","SYMBOL","ENSEMBL","SRR7251660","SRR7251661","SRR7251662","SRR7251664","SRR7251665","SRR7251667","SRR7251668","SRR7251670"
"1","1","A1BG","ENSG00000121410",14,32,9,2,13,0,3,0
"6766","2","A2M","ENSG00000175899",29,445,283,24,386,13,117,4
"10887","3","A2MP1","ENSG00000256069",0,36,20,1,45,0,10,0
"25056","9","NAT1","ENSG00000171428",12,3,2,3,10,2,2,1
"2","10","NAT2","ENSG00000156006",10,0,0,0,0,0,0,0
"4145","12","SERPINA3","ENSG00000196136",1,0,0,0,0,0,0,0
"4649","13","AADAC","ENSG00000114771",0,0,2,0,0,0,0,0
"5028","14","AAMP","ENSG00000127837",17,44,49,26,65,5,4,1
"5586","15","AANAT","ENSG00000129673",0,2,3,0,6,0,3,0
"6030","16","AARS1","ENSG00000090861",9,67,46,5,114,0,20,0
"6505","18","ABAT","ENSG00000183044",39,107,71,7,65,0,5,1
"6589","19","ABCA1","ENSG00000165029",39,49,120,43,158,29,109,19
"6767","20","ABCA2","ENSG00000107331",70,143,291,45,244,10,45,6
"7046","21","ABCA3","ENSG00000167972",9,43,35,4,42,0,2,0
"7221","22","ABCB7","ENSG00000131269",2,58,49,12,85,1,43,0
"7661","23","ABCF1","ENSG00000204574",0,0,0,0,0,0,0,0
"7662","23","ABCF1","ENSG00000236149",0,0,0,0,0,0,0,0
"7663","23","ABCF1","ENSG00000225989",0,0,0,0,0,0,0,0
"7664","23","ABCF1","ENSG00000232169",0,0,0,0,0,0,0,0
"7665","23","ABCF1","ENSG00000236342",0,0,0,0,0,0,0,0
"7666","23","ABCF1","ENSG00000206490",0,0,0,0,0,0,0,0
"7667","23","ABCF1","ENSG00000231129",0,0,0,0,0,0,0,0
"8308","24","ABCA4","ENSG00000198691",7,0,0,2,0,0,0,0
"8400","25","ABL1","ENSG00000097007",14,89,99,28,139,8,42,7
"8956","26","AOC1","ENSG00000002726",0,0,0,0,0,0,0,0
"9479","27","ABL2","ENSG00000143322",33,116,82,18,203,10,53,7
"9770","28","ABO","ENSG00000175164",0,0,0,0,0,0,0,0
"9771","28","ABO","ENSG00000281879",0,0,0,0,0,0,0,0
"10585","29","ABR","ENSG00000159842",50,208,325,63,472,17,74,8
"10586","29","ABR","ENSG00000276016",50,208,325,63,472,17,74,8
"10587","29","ABR","ENSG00000278741",50,208,325,63,472,17,74,8
"10888","30","ACAA1","ENSG00000060971",11,56,70,24,105,1,11,1
"11018","31","ACACA","ENSG00000278540",8,98,63,19,194,8,46,3
"11019","31","ACACA","ENSG00000275176",8,98,63,19,194,8,46,3
"11267","32","ACACB","ENSG00000076555",19,93,48,5,152,2,10,3
"11360","33","ACADL","ENSG00000115361",2,0,0,0,1,0,0,0
"11619","34","ACADM","ENSG00000117054",12,56,47,12,64,2,14,0
"12000","35","ACADS","ENSG00000122971",0,11,9,8,4,0,1,0
"12113","36","ACADSB","ENSG00000196177",2,75,48,1,96,2,16,0
"12217","37","ACADVL","ENSG00000072778",88,191,324,70,462,9,47,5
"12441","38","ACAT1","ENSG00000075239",3,74,39,3,81,2,14,2
"13093","39","ACAT2","ENSG00000120437",4,16,2,1,21,3,11,2
"13409","40","ASIC2","ENSG00000108684",2,0,0,0,0,0,0,0
"13951","41","ASIC1","ENSG00000110881",7,3,0,0,1,1,2,0
"14187","43","ACHE","ENSG00000087085",0,0,0,0,0,0,0,0
"14784","47","ACLY","ENSG00000131473",0,0,0,0,2,0,0,0
"14895","48","ACO1","ENSG00000122729",11,33,24,2,102,0,8,0
"14990","49","ACR","ENSG00000100312",0,0,0,0,0,0,0,0
"14991","49","ACR","ENSG00000283539",0,0,0,0,0,0,0,0
"15120","50","ACO2","ENSG00000100412",15,54,43,24,66,5,10,4
"15324","51","ACOX1","ENSG00000161533",23,85,64,28,124,9,26,1
"15967","52","ACP1","ENSG00000143727",39,107,38,17,69,1,13,0
"16051","53","ACP2","ENSG00000134575",4,24,17,8,24,1,8,0
"16200","54","ACP5","ENSG00000102575",11,12,14,2,22,0,2,0
"16730","55","ACP3","ENSG00000014257",7,14,47,5,31,5,9,2
"17580","56","ACRV1","ENSG00000134940",0,0,0,0,0,0,0,0
"18616","58","ACTA1","ENSG00000143632",0,1,2,0,0,0,0,0
"18770","59","ACTA2","ENSG00000107796",0,45,14,5,45,0,8,0
"18907","60","ACTB","ENSG00000075624",4304,12863,5629,3228,4726,389,1412,197
"21137","70","ACTC1","ENSG00000159251",2,0,2,0,0,0,0,0
"21234","71","ACTG1","ENSG00000184009",0,1,0,1,1,0,0,0
"21346","72","ACTG2","ENSG00000163017",2,0,0,0,0,0,0,0
"23263","81","ACTN4","ENSG00000130402",84,176,315,70,263,17,57,7
"23264","81","ACTN4","ENSG00000282844",84,176,315,70,263,17,57,7
"24621","86","ACTL6A","ENSG00000136518",5,20,10,4,53,1,3,0
"24719","87","ACTN1","ENSG00000072110",539,1571,294,227,219,35,107,15
"24812","88","ACTN2","ENSG00000077522",13,2,4,2,2,0,1,0
"24921","89","ACTN3","ENSG00000248746",1,0,0,2,1,0,0,0
"25057","90","ACVR1","ENSG00000115170",40,192,42,21,74,2,10,1
"25267","91","ACVR1B","ENSG00000135503",14,19,43,0,42,1,20,1
"25463","92","ACVR2A","ENSG00000121989",74,160,47,21,127,4,48,1
"25650","93","ACVR2B","ENSG00000114739",12,54,17,5,62,0,11,0
"25811","94","ACVRL1","ENSG00000139567",0,5,0,0,5,0,1,0
"25963","95","ACY1","ENSG00000243989",2,0,0,0,0,0,0,0
"26166","97","ACYP1","ENSG00000119640",0,11,9,0,27,0,0,0
"26273","98","ACYP2","ENSG00000170634",7,8,0,1,7,0,1,0
"3","100","ADA","ENSG00000196839",2,19,33,9,50,1,10,1
"2354","101","ADAM8","ENSG00000151651",108,130,177,78,162,11,27,7
"2488","102","ADAM10","ENSG00000137845",92,636,251,107,427,35,174,15
"2612","103","ADAR","ENSG00000160710",146,632,531,170,1145,63,353,41
"2692","104","ADARB1","ENSG00000197381",20,147,104,31,236,8,25,7
"2801","105","ADARB2","ENSG00000185736",1,0,0,0,1,0,0,0
"3003","107","ADCY1","ENSG00000164742",2,3,1,0,0,0,3,1
"3079","108","ADCY2","ENSG00000078295",7,0,0,0,0,0,2,0
"3172","109","ADCY3","ENSG00000138031",26,59,22,16,47,0,8,3
"3392","111","ADCY5","ENSG00000173175",3,2,4,0,4,0,0,0
"3491","112","ADCY6","ENSG00000174233",8,19,1,4,0,0,1,0
"3621","113","ADCY7","ENSG00000121281",78,445,571,115,929,15,71,11
"3712","114","ADCY8","ENSG00000155897",2,0,0,1,1,0,0,0
"3826","115","ADCY9","ENSG00000162104",22,71,62,6,84,3,26,6
"3935","116","ADCYAP1","ENSG00000141433",3,0,0,0,0,0,0,0
"4021","117","ADCYAP1R1","ENSG00000078549",2,0,0,0,0,0,0,0
"4061","118","ADD1","ENSG00000087274",145,562,448,118,881,21,126,16
"4103","119","ADD2","ENSG00000075340",0,0,0,0,0,0,0,0
"4146","120","ADD3","ENSG00000148700",141,1108,380,132,969,23,225,11
"4257","123","PLIN2","ENSG00000147872",10,26,25,22,23,3,26,9
"4300","124","ADH1A","ENSG00000187758",2,0,1,0,0,0,0,0
"4365","125","ADH1B","ENSG00000196616",4,0,0,2,0,0,0,0
"4397","126","ADH1C","ENSG00000248144",0,0,0,0,0,0,0,0
"4485","127","ADH4","ENSG00000198099",2,3,0,0,1,0,0,0
"4543","128","ADH5","ENSG00000197894",15,62,13,7,85,2,13,1
"4650","130","ADH6","ENSG00000172955",2,2,1,0,1,0,0,0
"4701","131","ADH7","ENSG00000196344",0,0,0,0,0,0,0,0
"4739","132","ADK","ENSG00000156110",14,52,50,8,127,6,28,5
"4777","133","ADM","ENSG00000148926",11,3,2,13,0,8,2,3
"4801","134","ADORA1","ENSG00000163485",0,1,0,2,0,0,0,0
"4836","135","ADORA2A","ENSG00000128271",6,4,2,2,4,0,1,0
"4886","136","ADORA2B","ENSG00000170425",3,4,7,1,4,0,5,0
"5029","140","ADORA3","ENSG00000282608",4,1,2,2,8,0,0,0
"5124","141","ADPRH","ENSG00000144843",0,20,10,8,24,1,15,2
"5135","142","PARP1","ENSG00000143799",18,161,139,40,259,6,31,7
"5157","143","PARP4","ENSG00000102699",36,283,309,33,644,18,107,8
"5303","146","ADRA1D","ENSG00000171873",0,0,1,0,0,0,0,0
"5377","147","ADRA1B","ENSG00000170214",0,0,0,0,0,0,0,0
"5462","148","ADRA1A","ENSG00000120907",0,0,0,0,0,0,0,0
"5587","150","ADRA2A","ENSG00000150594",9,23,2,7,2,0,0,0
"5659","151","ADRA2B","ENSG00000274286",0,1,0,0,1,0,5,0
"5724","152","ADRA2C","ENSG00000184160",5,0,0,0,0,1,0,0
"5781","153","ADRB1","ENSG00000043591",3,0,1,1,1,7,4,5
"5822","154","ADRB2","ENSG00000169252",7,25,46,1,85,5,17,2
"5864","155","ADRB3","ENSG00000188778",10,0,0,0,0,0,0,0
"5887","156","GRK2","ENSG00000173020",189,393,480,140,569,18,85,10
"5896","157","GRK3","ENSG00000100077",74,313,372,68,408,10,93,7
"5938","158","ADSL","ENSG00000239900",17,70,38,9,114,0,21,1
"6010","159","ADSS2","ENSG00000035687",19,116,60,19,134,7,40,6
"6031","160","AP2A1","ENSG00000196961",46,94,183,44,112,4,59,3
"6064","161","AP2A2","ENSG00000183020",25,140,101,35,162,3,41,2
"6065","161","AP2A2","ENSG00000280759",25,140,101,35,162,3,41,2
"6066","161","AP2A2","ENSG00000281385",25,140,101,35,162,3,41,2
"6109","162","AP1B1","ENSG00000100280",82,136,145,55,191,2,39,1
"6151","163","AP2B1","ENSG00000006125",52,168,84,26,221,10,26,6
"6199","164","AP1G1","ENSG00000166747",63,325,233,61,498,33,169,15
"6225","165","AEBP1","ENSG00000106624",2,26,28,2,18,0,5,0
"6251","166","TLE5","ENSG00000104964",54,349,247,73,337,13,83,3
"6278","167","CRISP1","ENSG00000124812",0,0,0,0,0,0,0,0
"6428","172","AFG3L1P","ENSG00000223959",11,34,49,6,104,1,12,1
"6435","173","AFM","ENSG00000079557",0,0,0,0,0,0,0,0
"6445","174","AFP","ENSG00000081051",9,0,0,0,0,0,0,0
"6455","175","AGA","ENSG00000038002",2,22,12,5,30,0,5,0
"6462","176","ACAN","ENSG00000157766",4,5,0,2,5,0,0,0
"6470","177","AGER","ENSG00000204305",0,0,0,0,0,0,0,0
"6471","177","AGER","ENSG00000230514",0,0,0,0,0,0,0,0
"6472","177","AGER","ENSG00000231268",0,0,0,0,0,0,0,0
"6473","177","AGER","ENSG00000229058",0,0,0,0,0,0,0,0
"6474","177","AGER","ENSG00000237405",0,0,0,0,0,0,0,0
"6475","177","AGER","ENSG00000206320",0,0,0,0,0,0,0,0
"6476","177","AGER","ENSG00000234729",0,0,0,0,0,0,0,0
"6484","178","AGL","ENSG00000162688",24,165,70,23,186,0,25,1
"6516","181","AGRP","ENSG00000159723",0,4,0,1,2,0,1,0
"6526","182","JAG1","ENSG00000101384",8,4,15,4,27,2,5,2
"6537","183","AGT","ENSG00000135744",0,0,0,0,0,0,1,0
"6557","185","AGTR1","ENSG00000144891",0,0,0,0,0,0,0,0
"6567","186","AGTR2","ENSG00000180772",0,0,0,0,0,0,0,0
"6570","187","APLNR","ENSG00000134817",1,0,0,0,0,0,0,0
"6581","189","AGXT","ENSG00000172482",0,0,0,0,0,0,0,0
"6590","190","NR0B1","ENSG00000169297",0,0,0,0,0,0,0,0
"6598","191","AHCY","ENSG00000101444",8,15,20,11,14,1,13,0
"6641","196","AHR","ENSG00000106546",107,254,342,178,282,72,390,34
"6688","197","AHSG","ENSG00000145192",0,0,0,0,0,0,0,0
"6717","199","AIF1","ENSG00000204472",0,1,3,0,2,0,0,0
"6718","199","AIF1","ENSG00000235588",0,1,3,0,2,0,0,0
"6719","199","AIF1","ENSG00000206428",0,1,3,0,2,0,0,0
"6720","199","AIF1","ENSG00000234836",0,1,3,0,2,0,0,0
"6721","199","AIF1","ENSG00000235985",0,1,3,0,2,0,0,0
"6722","199","AIF1","ENSG00000237727",0,1,3,0,2,0,0,0
"6892","202","CRYBG1","ENSG00000112297",38,549,333,113,732,46,201,35
"6930","203","AK1","ENSG00000106992",2,30,17,8,54,0,1,0
"6978","204","AK2","ENSG00000004455",21,104,80,15,192,7,36,1
"6996","205","AK4","ENSG00000162433",6,1,2,0,2,3,1,1
"7028","207","AKT1","ENSG00000142208",51,154,212,51,170,8,35,9
"7039","208","AKT2","ENSG00000105221",49,170,194,26,212,21,54,5
"7047","210","ALAD","ENSG00000148218",18,51,66,10,67,5,20,2
"7055","211","ALAS1","ENSG00000023330",9,36,37,7,58,1,15,3
"7064","212","ALAS2","ENSG00000158578",0,12,11,30,7,0,11,0
"7072","213","ALB","ENSG00000163631",0,0,0,0,0,0,0,0
"7081","214","ALCAM","ENSG00000170017",17,62,49,19,84,4,23,3
"7087","215","ABCD1","ENSG00000101986",0,0,0,0,0,0,0,0
"7096","216","ALDH1A1","ENSG00000165092",5,6,23,0,19,1,10,0
"7105","217","ALDH2","ENSG00000111275",11,33,79,18,90,5,37,3
"7114","218","ALDH3A1","ENSG00000108602",0,0,0,0,0,0,0,0
"7124","219","ALDH1B1","ENSG00000137124",6,6,8,3,9,0,5,0
"7222","220","ALDH1A3","ENSG00000184254",9,0,0,0,4,0,0,0
"7289","221","ALDH3B1","ENSG00000006534",3,23,78,18,45,0,9,1
"7395","222","ALDH3B2","ENSG00000132746",2,0,0,0,0,0,0,0
"7441","223","ALDH9A1","ENSG00000143149",15,64,26,10,85,2,15,0
"7450","224","ALDH3A2","ENSG00000072210",12,57,51,10,80,3,12,2
"7460","225","ABCD2","ENSG00000173208",11,86,32,6,129,2,10,0
"7474","226","ALDOA","ENSG00000149925",222,547,274,169,190,11,108,10
"7581","229","ALDOB","ENSG00000136872",0,1,2,0,1,0,0,1
"7668","230","ALDOC","ENSG00000109107",0,17,2,4,17,0,1,0
"7759","231","AKR1B1","ENSG00000085662",7,14,12,3,37,0,7,0
"8305","238","ALK","ENSG00000171094",4,12,7,0,8,3,0,0
"8306","239","ALOX12","ENSG00000108839",86,239,47,47,39,2,6,2
"8309","240","ALOX5","ENSG00000012779",0,0,0,0,0,0,0,0
"8310","240","ALOX5","ENSG00000275565",0,0,0,0,0,0,0,0
"8311","241","ALOX5AP","ENSG00000132965",25,31,25,4,48,7,17,2
"8325","242","ALOX12B","ENSG00000179477",0,2,4,0,0,0,1,0
"8326","244",NA,NA,0,0,0,0,1,0,0,0
"8328","245","ALOX12P2","ENSG00000262943",0,4,10,1,20,0,0,0
"8363","246","ALOX15","ENSG00000161905",0,0,0,0,1,0,0,1
"8385","247","ALOX15B","ENSG00000179593",0,4,1,0,0,0,0,0
"8387","248","ALPI","ENSG00000163295",0,1,0,0,0,0,0,0
"8394","249","ALPL","ENSG00000162551",9,3,1,5,1,1,1,1
"8401","250","ALPP","ENSG00000163283",0,0,2,0,0,0,0,0
"8402","251","ALPG","ENSG00000163286",0,0,0,1,0,0,0,0
"8670","257","ALX3","ENSG00000156150",0,0,0,1,2,0,0,1
"8735","258","AMBN","ENSG00000178522",2,0,0,0,2,0,0,0
"8823","259","AMBP","ENSG00000106927",0,0,0,0,0,0,0,0
"9107","262","AMD1","ENSG00000123505",255,502,132,82,162,36,93,13
"9233","265","AMELX","ENSG00000125363",0,0,0,0,0,0,0,0
"9295","266","AMELY","ENSG00000099721",0,0,0,0,0,0,0,0
"9339","267","AMFR","ENSG00000159461",101,265,92,57,148,6,31,3
"9412","268","AMH","ENSG00000104899",0,1,0,1,0,0,0,0
"9452","269","AMHR2","ENSG00000135409",0,0,0,0,0,0,0,0
"9480","270","AMPD1","ENSG00000116748",1,0,0,2,0,0,0,0
"9538","271","AMPD2","ENSG00000116337",113,130,177,75,156,27,60,13
"9605","272","AMPD3","ENSG00000133805",5,72,77,15,149,2,32,2
"9653","273","AMPH","ENSG00000078053",1,10,17,0,24,0,2,0
"9702","274","BIN1","ENSG00000136717",15,94,82,27,124,7,23,7
"9724","275","AMT","ENSG00000145020",0,49,26,4,48,0,3,0
"9726","276","AMY1A","ENSG00000237763",0,0,0,0,0,0,0,0
"9753","279","AMY2A","ENSG00000243480",0,1,0,0,2,0,0,0
"9772","280","AMY2B","ENSG00000240038",7,66,30,13,152,1,13,1
"9838","283","ANG","ENSG00000214274",0,0,0,0,1,0,1,0
"10041","284","ANGPT1","ENSG00000154188",59,153,9,17,6,2,3,0
"10241","285","ANGPT2","ENSG00000091879",6,40,27,1,61,1,3,2
"10414","286","ANK1","ENSG00000029534",60,220,38,45,44,0,13,0
"10508","287","ANK2","ENSG00000145362",11,6,21,0,1,0,0,0
"10520","288","ANK3","ENSG00000151150",37,360,109,32,274,4,136,1
"10588","290","ANPEP","ENSG00000166825",35,57,178,32,115,18,60,9
"10638","291","SLC25A4","ENSG00000151729",0,10,4,3,28,0,2,0
"10679","292","SLC25A5","ENSG00000005022",15,51,27,23,74,6,35,3
"10687","293","SLC25A6","ENSG00000169100",0,0,0,0,0,0,0,0
"10908","301","ANXA1","ENSG00000135046",37,156,267,79,393,9,172,6
"10916","302","ANXA2","ENSG00000182718",23,26,54,20,95,4,24,0
"10923","303","ANXA2P1",NA,3,0,0,1,5,0,0,0
"10933","304","ANXA2P2",NA,4,53,153,32,202,1,21,0
"10943","305","ANXA2P3",NA,2,2,5,1,4,0,2,0
"10950","306","ANXA3","ENSG00000138772",10,9,3,3,0,1,2,1
"10960","307","ANXA4","ENSG00000196975",7,29,35,8,70,0,6,0
"10968","308","ANXA5","ENSG00000164111",41,76,171,29,175,22,152,11
"11007","309","ANXA6","ENSG00000197043",75,395,271,106,638,16,129,16
"11020","310","ANXA7","ENSG00000138279",36,142,67,42,182,7,44,2
"11060","311","ANXA11","ENSG00000122359",39,270,207,100,377,22,68,11
"11128","312","ANXA13","ENSG00000104537",2,0,0,0,0,0,0,0
"11159","313","AOAH","ENSG00000136250",45,242,481,48,646,31,184,11
"11191","314","AOC2","ENSG00000131480",0,2,4,1,7,1,0,0
"11206","316","AOX1","ENSG00000138356",10,0,0,0,0,0,0,0
"11216","317","APAF1","ENSG00000120868",38,141,163,28,345,13,38,10
"11242","318","NUDT2","ENSG00000164978",0,4,4,0,25,0,9,0
"11252","319","APOF","ENSG00000175336",1,0,0,0,0,0,0,0
"11268","320","APBA1","ENSG00000107282",0,1,1,0,1,0,0,0
"11269","320","APBA1","ENSG00000276497",0,1,1,0,1,0,0,0
"11280","321","APBA2","ENSG00000034053",24,151,108,32,159,2,49,2
"11281","321","APBA2","ENSG00000276495",24,151,108,32,159,2,49,2
"11291","322","APBB1","ENSG00000166313",8,83,35,16,69,0,23,0
"11302","323","APBB2","ENSG00000163697",26,1,0,2,1,0,1,0
"11312","324","APC","ENSG00000134982",19,221,228,55,407,40,117,12
"11318","325","APCS","ENSG00000132703",2,0,0,0,0,0,0,0
"11322","326","AIRE","ENSG00000160224",0,1,10,2,12,0,0,0
"11337","327","APEH","ENSG00000164062",12,46,50,17,106,0,19,1
"11344","328","APEX1","ENSG00000100823",12,99,71,18,118,5,27,3
"11349","329","BIRC2","ENSG00000110330",29,210,86,30,188,17,125,9
"11361","330","BIRC3","ENSG00000023445",47,613,169,110,650,43,224,31
"11382","331","XIAP","ENSG00000101966",48,135,125,27,250,7,44,4
"11389","332","BIRC5","ENSG00000089685",5,0,0,2,0,0,0,0
"11394","333","APLP1","ENSG00000105290",0,1,1,0,0,4,2,1
"11401","334","APLP2","ENSG00000084234",70,235,554,93,479,46,310,29
"11408","335","APOA1","ENSG00000118137",0,1,0,0,0,0,0,0
"11418","336","APOA2","ENSG00000158874",0,0,4,0,3,0,3,0
"11424","337","APOA4","ENSG00000110244",0,0,0,0,0,0,0,0
"11454","338","APOB","ENSG00000084674",7,0,0,0,0,0,0,0
"11520","339","APOBEC1","ENSG00000111701",1,0,0,0,0,0,0,0
"11690","341","APOC1","ENSG00000130208",0,0,0,0,1,0,0,0
"11719","342","APOC1P1","ENSG00000214855",0,0,0,0,0,0,0,0
"11763","343","AQP8","ENSG00000103375",0,0,0,0,0,0,0,0
"11805","344","APOC2","ENSG00000234906",0,0,0,0,0,0,0,0
"11842","345","APOC3","ENSG00000110245",0,0,0,0,0,0,0,0
"11895","347","APOD","ENSG00000189058",2,1,0,0,0,0,0,0
"11940","348","APOE","ENSG00000130203",0,0,0,0,0,0,1,0
"12001","350","APOH","ENSG00000091583",0,0,0,0,0,0,0,0
"12004","351","APP","ENSG00000142192",249,747,185,132,215,18,73,9
"12012","353","APRT","ENSG00000198931",5,30,28,12,24,0,3,0
"12056","354","KLK3","ENSG00000142515",0,0,0,0,0,0,0,0
"12060","355","FAS","ENSG00000026103",7,69,36,12,109,5,19,5
"12070","356","FASLG","ENSG00000117560",0,3,3,0,19,0,0,0
"12080","357","SHROOM2","ENSG00000146950",0,0,0,0,0,0,0,0
"12089","358","AQP1","ENSG00000240583",0,7,0,0,1,0,0,0
"12096","359","AQP2","ENSG00000167580",7,0,0,0,0,0,0,0
"12114","360","AQP3","ENSG00000165272",1,42,21,11,64,0,11,1
"12132","361","AQP4","ENSG00000171885",7,0,0,0,0,0,0,0
"12140","362","AQP5","ENSG00000161798",0,0,0,0,1,0,0,0
"12150","363","AQP6","ENSG00000086159",0,0,0,0,0,0,0,0
"12159","364","AQP7","ENSG00000165269",0,0,0,3,1,0,0,0
"12174","366","AQP9","ENSG00000103569",27,12,49,14,43,45,166,16
"12184","367","AR","ENSG00000169083",10,12,4,1,0,10,8,4
"12195","368","ABCC6","ENSG00000091262",4,8,10,0,7,0,1,0
"12196","368","ABCC6","ENSG00000275331",4,8,10,0,7,0,1,0
"12206","369","ARAF","ENSG00000078061",26,87,87,13,158,8,28,7
"12235","372","ARCN1","ENSG00000095139",0,0,0,0,0,0,0,0
"12241","373","TRIM23","ENSG00000113595",16,53,25,3,67,7,12,1
"12253","374","AREG","ENSG00000109321",0,3,3,0,1,0,1,0
"12317","375","ARF1","ENSG00000143761",230,658,195,177,250,22,71,13
"12390","377","ARF3","ENSG00000134287",88,390,168,75,265,12,40,4
"12405","378","ARF4","ENSG00000168374",38,85,55,22,68,21,31,12
"12429","379","ARL4D","ENSG00000175906",2,2,0,2,0,0,0,0
"12609","381","ARF5","ENSG00000004059",8,61,52,21,43,4,16,3
"12706","382","ARF6","ENSG00000165527",74,230,245,76,362,18,102,16
"12713","383","ARG1","ENSG00000118520",14,9,9,0,8,1,5,4
"12726","384","ARG2","ENSG00000081181",13,78,21,4,35,1,1,2
"12774","387","RHOA","ENSG00000067560",272,780,354,235,571,36,197,22
"12856","388","RHOB","ENSG00000143878",27,45,98,63,25,19,10,8
"12981","389","RHOC","ENSG00000155366",29,68,27,35,48,0,8,1
"13094","390","RND3","ENSG00000115963",3,0,0,0,0,0,0,0
"13219","391","RHOG","ENSG00000177105",23,63,93,41,71,5,13,4
"13263","392","ARHGAP1","ENSG00000175220",8,147,107,51,181,7,40,1
"13296","393","ARHGAP4","ENSG00000089820",0,1,0,0,0,0,0,0
"13309","394","ARHGAP5","ENSG00000100852",60,402,134,47,345,16,99,7
"13320","395","ARHGAP6","ENSG00000047648",112,291,41,32,48,2,4,1
"13330","396","ARHGDIA","ENSG00000141522",120,202,296,154,171,22,88,13
"13339","397","ARHGDIB","ENSG00000111348",343,1119,710,294,992,68,348,43
"13347","398","ARHGDIG","ENSG00000242173",0,0,0,0,0,0,0,0
"13356","399","RHOH","ENSG00000168421",9,133,29,31,121,8,30,7
"13410","400","ARL1","ENSG00000120805",2,49,37,4,63,2,22,3
"13520","401","PHOX2A","ENSG00000165462",0,1,0,0,0,0,0,0
"13653","402","ARL2","ENSG00000213465",1,3,3,1,10,0,0,0
"13673","403","ARL3","ENSG00000138175",2,12,13,4,19,0,8,0
"13728","405","ARNT","ENSG00000143437",20,150,159,18,313,8,71,4
"13749","406","ARNTL","ENSG00000133794",9,131,107,22,288,10,74,7
"13874","407","ARR3","ENSG00000120500",0,5,6,0,6,0,0,0
"13929","408","ARRB1","ENSG00000137486",149,302,299,94,398,16,77,8
"13943","409","ARRB2","ENSG00000141480",92,218,421,87,514,26,118,14
"13952","410","ARSA","ENSG00000100299",43,84,88,20,112,3,10,0
"13961","411","ARSB","ENSG00000113273",18,32,47,9,66,1,25,0
"13971","412","STS","ENSG00000101846",9,25,34,12,48,1,9,0
"13989","414","ARSD","ENSG00000006756",1,19,24,4,37,3,18,2
"14068","415","ARSL","ENSG00000157399",8,1,0,0,0,0,0,0
"14081","416","ARSF","ENSG00000062096",0,0,0,0,0,0,0,0
"14088","417","ART1","ENSG00000129744",0,0,1,0,0,0,0,0
"14101","419","ART3","ENSG00000156219",2,0,0,0,0,0,0,0
"14108","420","ART4","ENSG00000111339",4,1,0,0,0,0,0,0
"14116","421","ARVCF","ENSG00000099889",3,5,10,0,6,1,3,0
"14158","427","ASAH1","ENSG00000104763",233,235,203,65,201,17,117,7
"14177","429","ASCL1","ENSG00000139352",0,0,0,0,0,0,0,0
"14188","430","ASCL2","ENSG00000183734",1,2,5,0,4,0,3,0
"14208","432","ASGR1","ENSG00000141505",4,12,15,1,7,2,0,0
"14220","433","ASGR2","ENSG00000161944",4,15,31,11,37,0,3,0
"14228","434","ASIP","ENSG00000101440",6,0,0,0,0,0,0,0
"14240","435","ASL","ENSG00000126522",9,27,27,1,20,2,11,1
"14255","438","ASMT","ENSG00000196433",0,0,0,0,0,0,0,0
"14258","439","GET3","ENSG00000198356",15,8,20,5,18,0,8,0
"14274","440","ASNS","ENSG00000070669",7,47,27,13,83,4,3,1
"14584","443","ASPA","ENSG00000108381",0,0,0,0,0,0,0,0
"14598","444","ASPH","ENSG00000198363",52,93,65,15,83,6,46,4
"14601","445","ASS1","ENSG00000130707",0,1,0,0,0,0,0,0
"14680","460","ASTN1","ENSG00000152092",5,0,0,1,0,0,0,0
"14698","462","SERPINC1","ENSG00000117601",0,1,0,0,0,0,0,0
"14709","463","ZFHX3","ENSG00000140836",462,66,214,86,191,28,79,21
"14733","466","ATF1","ENSG00000123268",6,33,22,7,34,9,7,0
"14742","467","ATF3","ENSG00000162772",9,8,8,27,2,16,40,7
"14754","468","ATF4","ENSG00000128272",103,372,236,94,312,10,45,7
"14799","471","ATIC","ENSG00000138363",3,48,33,8,83,0,27,0
"14811","472","ATM","ENSG00000149311",81,2610,1240,291,3626,78,565,39
"14821","473","RERE","ENSG00000142599",93,412,454,80,434,40,138,13
"14830","474","ATOH1","ENSG00000172238",0,0,0,0,0,0,0,1
"14842","475","ATOX1","ENSG00000177556",1,12,7,6,21,0,1,0
"14857","476","ATP1A1","ENSG00000163399",29,286,205,85,419,31,137,13
"14862","477","ATP1A2","ENSG00000018625",2,0,0,1,0,0,0,0
"14872","478","ATP1A3","ENSG00000105409",0,0,0,0,0,0,0,0
"14878","479","ATP12A","ENSG00000075673",5,0,0,0,0,0,0,0
"14896","480","ATP1A4","ENSG00000132681",7,0,0,1,0,0,0,0
"14905","481","ATP1B1","ENSG00000143153",9,16,8,5,6,0,2,0
"14912","482","ATP1B2","ENSG00000129244",0,0,0,0,0,0,0,0
"14920","483","ATP1B3","ENSG00000069849",11,48,45,20,58,8,29,3
"14960","486","FXYD2","ENSG00000137731",0,0,0,0,0,0,1,0
"14969","487","ATP2A1","ENSG00000196296",4,8,3,0,10,0,0,0
"14972","488","ATP2A2","ENSG00000174437",129,385,207,79,445,15,125,10
"14983","489","ATP2A3","ENSG00000074370",324,924,397,226,419,19,61,8
"14992","490","ATP2B1","ENSG00000070961",42,401,324,64,925,36,482,24
"15004","491","ATP2B2","ENSG00000157087",4,2,0,1,0,0,1,0
