"","ENTREZID","SYMBOL","ENSEMBL","SRR7251660","SRR7251661","SRR7251662","SRR7251664","SRR7251665","SRR7251667","SRR7251668","SRR7251670"
"6573","1871","E2F3","ENSG00000112242",23,82,53,12,86,7,11,4
"6574","1874","E2F4","ENSG00000205250",15,59,64,13,120,3,16,1
"6575","1875","E2F5","ENSG00000133740",0,7,7,4,17,0,1,0
"6576","1876","E2F6","ENSG00000169016",4,8,9,1,13,0,0,0
"6577","1877","E4F1","ENSG00000167967",14,58,33,17,20,2,11,1
"6578","1879","EBF1","ENSG00000164330",28,53,53,2,50,7,7,2
"6579","1880","GPR183","ENSG00000169508",5,142,50,33,143,25,311,4
"6580","1889","ECE1","ENSG00000117298",96,358,158,72,201,22,72,26
"6582","1890","TYMP","ENSG00000025708",45,116,234,91,108,3,23,1
"6583","1891","ECH1","ENSG00000104823",0,38,47,12,29,0,6,0
"6584","1891","ECH1","ENSG00000282853",0,38,47,12,29,0,6,0
"6585","1892","ECHS1","ENSG00000127884",9,21,7,12,18,0,2,0
"6586","1893","ECM1","ENSG00000143369",3,3,4,0,1,0,1,0
"6587","1894","ECT2","ENSG00000114346",1,8,8,7,35,1,4,0
"6588","1896","EDA","ENSG00000158813",4,20,1,8,14,0,2,0
"6591","1901","S1PR1","ENSG00000170989",33,136,104,18,199,10,103,13
"6592","1902","LPAR1","ENSG00000198121",15,10,20,4,34,1,3,0
"6593","1903","S1PR3","ENSG00000213694",1,9,8,1,31,3,5,0
"6594","1906","EDN1","ENSG00000078401",15,3,2,0,1,0,0,0
"6595","1907","EDN2","ENSG00000127129",0,0,0,0,0,0,0,0
"6596","1908","EDN3","ENSG00000124205",2,0,1,0,0,0,0,0
"6597","1909","EDNRA","ENSG00000151617",5,0,0,0,0,0,4,0
"6599","1910","EDNRB","ENSG00000136160",10,0,0,0,0,0,0,0
"6600","1911","PHC1","ENSG00000111752",4,8,10,0,28,0,1,0
"6601","1912","PHC2","ENSG00000134686",41,38,59,48,73,11,14,3
"6602","1915","EEF1A1","ENSG00000156508",83,813,446,184,1084,52,340,42
"6604","1917","EEF1A2","ENSG00000101210",1,1,5,2,2,0,1,0
"6613","1933","EEF1B2","ENSG00000114942",5,65,32,21,65,1,18,2
"6614","1933","EEF1B2","ENSG00000283391",5,65,32,21,65,1,18,2
"6615","1936","EEF1D","ENSG00000104529",110,206,126,119,135,19,69,8
"6616","1936","EEF1D","ENSG00000273594",110,206,126,119,135,19,69,8
"6618","1937","EEF1G","ENSG00000254772",70,317,213,58,417,12,74,11
"6619","1938","EEF2","ENSG00000167658",498,1582,1769,528,1194,125,870,62
"6620","1939","EIF2D","ENSG00000143486",0,0,0,0,0,0,0,0
"6621","1942","EFNA1","ENSG00000169242",0,0,0,0,3,0,0,0
"6622","1943","EFNA2","ENSG00000099617",0,0,0,0,0,1,0,0
"6623","1944","EFNA3","ENSG00000143590",2,1,3,0,3,8,13,1
"6624","1945","EFNA4","ENSG00000243364",0,7,1,0,6,0,3,0
"6625","1946","EFNA5","ENSG00000184349",5,2,3,1,7,0,0,0
"6626","1947","EFNB1","ENSG00000090776",31,25,8,6,6,3,7,0
"6627","1948","EFNB2","ENSG00000125266",0,15,2,0,3,0,0,0
"6628","1949","EFNB3","ENSG00000108947",0,0,2,0,1,0,0,0
"6629","1950","EGF","ENSG00000138798",108,320,27,62,34,0,7,0
"6630","1951","CELSR3","ENSG00000008300",13,22,20,5,29,0,8,0
"6631","1952","CELSR2","ENSG00000143126",19,13,16,3,29,1,6,0
"6632","1953","MEGF6","ENSG00000162591",64,144,47,19,76,0,11,1
"6633","1954","MEGF8","ENSG00000105429",23,32,48,5,58,4,4,1
"6634","1955","MEGF9","ENSG00000106780",62,167,349,46,336,49,102,17
"6635","1956","EGFR","ENSG00000146648",4,1,0,0,0,0,0,0
"6636","1958","EGR1","ENSG00000120738",8,59,168,44,37,120,234,62
"6640","1959","EGR2","ENSG00000122877",2,8,19,0,11,1,4,0
"6642","1960","EGR3","ENSG00000179388",18,13,26,5,3,38,22,13
"6646","1961","EGR4","ENSG00000135625",0,0,0,0,0,1,0,0
"6647","1962","EHHADH","ENSG00000113790",2,5,3,0,9,0,1,0
"6656","1964","EIF1AX","ENSG00000173674",13,84,21,20,41,5,19,1
"6666","1965","EIF2S1","ENSG00000134001",14,51,27,12,78,7,16,0
"6674","1967","EIF2B1","ENSG00000111361",8,78,51,15,156,2,28,0
"6678","1968","EIF2S3","ENSG00000130741",21,254,184,50,336,10,88,6
"6682","1969","EPHA2","ENSG00000142627",3,2,0,0,4,0,4,0
"6705","1974","EIF4A2","ENSG00000156976",56,414,251,103,526,27,144,14
"6707","1975","EIF4B","ENSG00000063046",44,465,267,98,594,24,202,17
"6708","1977","EIF4E","ENSG00000151247",33,45,18,8,29,3,30,2
"6709","1978","EIF4EBP1","ENSG00000187840",0,3,22,2,12,0,4,0
"6710","1979","EIF4EBP2","ENSG00000148730",85,248,293,92,425,19,104,14
"6711","1981","EIF4G1","ENSG00000114867",83,324,407,120,440,23,104,13
"6712","1982","EIF4G2","ENSG00000110321",520,1702,749,332,1220,69,389,48
"6713","1983","EIF5","ENSG00000100664",73,294,297,118,399,121,296,69
"6714","1984","EIF5A","ENSG00000132507",15,84,106,36,177,9,24,8
"6715","1984","EIF5A","ENSG00000288145",15,84,106,36,177,9,24,8
"6723","1990","CELA1","ENSG00000139610",0,0,0,0,4,0,0,0
"6724","1991","ELANE","ENSG00000197561",3,0,0,1,0,1,0,1
"6725","1991","ELANE","ENSG00000277571",3,0,0,1,0,1,0,1
"6726","1992","SERPINB1","ENSG00000021355",185,376,165,71,232,12,97,3
"6729","1993","ELAVL2","ENSG00000107105",7,0,0,0,0,0,0,0
"6730","1994","ELAVL1","ENSG00000066044",8,75,85,11,126,1,25,4
"6731","1995","ELAVL3","ENSG00000196361",5,0,0,0,0,0,0,0
"6732","1996","ELAVL4","ENSG00000162374",0,1,0,0,0,0,0,0
"6736","1997","ELF1","ENSG00000120690",89,730,340,114,587,53,327,35
"6754","1998","ELF2","ENSG00000109381",37,175,119,32,200,15,75,10
"6760","1999","ELF3","ENSG00000163435",7,4,11,0,9,0,3,0
"6768","2000","ELF4","ENSG00000102034",29,106,185,43,239,18,47,8
"6775","2001","ELF5","ENSG00000135374",0,0,0,0,0,0,0,0
"6784","2002","ELK1","ENSG00000126767",1,29,26,9,40,3,16,0
"6788","2003","ELK2AP",NA,0,0,0,0,0,0,0,0
"6795","2004","ELK3","ENSG00000111145",45,123,87,34,128,7,32,4
"6800","2005","ELK4","ENSG00000158711",52,551,435,75,759,39,279,18
"6806","2006","ELN","ENSG00000049540",0,0,0,0,0,0,0,0
"6819","2009","EML1","ENSG00000066629",0,0,0,0,0,0,0,0
"6834","2010","EMD","ENSG00000102119",0,0,0,0,0,0,0,0
"6835","2011","MARK2","ENSG00000072518",60,127,187,41,231,14,40,6
"6847","2012","EMP1","ENSG00000134531",5,1,6,0,3,0,1,0
"6861","2013","EMP2","ENSG00000213853",0,0,0,0,0,0,0,0
"6863","2014","EMP3","ENSG00000142227",26,133,169,56,145,14,36,2
"6867","2015","ADGRE1","ENSG00000174837",11,32,41,6,53,6,10,3
"6873","2016","EMX1","ENSG00000135638",0,0,2,1,1,0,0,0
"6880","2017","CTTN","ENSG00000085733",294,610,85,109,42,0,8,3
"6881","2017","CTTN","ENSG00000288401",294,610,85,109,42,0,8,3
"6886","2018","EMX2","ENSG00000170370",7,0,0,0,0,0,0,0
"6888","2019","EN1","ENSG00000163064",0,0,1,1,2,0,0,0
"6893","2020","EN2","ENSG00000164778",0,0,0,1,0,0,0,0
"6899","2021","ENDOG","ENSG00000167136",0,0,1,2,0,0,0,0
"6904","2022","ENG","ENSG00000106991",13,63,57,18,66,3,8,1
"6908","2023","ENO1","ENSG00000074800",103,244,185,131,222,9,77,4
"6915","2026","ENO2","ENSG00000111674",0,0,0,0,0,0,0,0
"6924","2027","ENO3","ENSG00000108515",0,12,12,1,24,0,3,1
"6926","2028","ENPEP","ENSG00000138792",4,0,0,0,0,0,0,0
"6928","2029","ENSA","ENSG00000143420",47,145,87,51,188,15,44,5
"6931","2030","SLC29A1","ENSG00000112759",2,0,14,3,15,0,3,0
"6960","2033","EP300","ENSG00000100393",88,586,920,89,1264,129,443,63
"6962","2034","EPAS1","ENSG00000116016",3,7,4,1,6,2,3,1
"6967","2035","EPB41","ENSG00000159023",187,1032,452,216,986,62,347,25
"6973","2036","EPB41L1","ENSG00000088367",2,3,0,0,2,0,0,0
"6974","2037","EPB41L2","ENSG00000079819",31,47,89,4,78,0,22,2
"6975","2038","EPB42","ENSG00000166947",1,7,1,4,3,0,2,0
"6977","2039","DMTN","ENSG00000158856",178,404,60,95,66,2,14,4
"6979","2040","STOM","ENSG00000148175",285,1574,200,128,298,12,46,11
"6981","2041","EPHA1","ENSG00000146904",1,22,13,3,41,0,0,1
"6982","2041","EPHA1","ENSG00000284816",1,22,13,3,41,0,0,1
"6983","2042","EPHA3","ENSG00000044524",15,0,0,0,0,0,0,0
"6985","2043","EPHA4","ENSG00000116106",11,52,26,6,171,2,36,3
"6986","2044","EPHA5","ENSG00000145242",17,0,0,0,0,0,0,0
"6988","2045","EPHA7","ENSG00000135333",3,0,0,0,0,0,0,0
"6989","2046","EPHA8","ENSG00000070886",0,0,0,0,0,0,0,0
"6990","2047","EPHB1","ENSG00000154928",3,1,3,1,2,0,2,0
"6991","2048","EPHB2","ENSG00000133216",0,2,4,7,4,2,0,0
