"","ENTREZID","SYMBOL","ENSEMBL","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","newPadj"
"104","100463488","MTRNR2L10","ENSG00000256045",618.256202048975,6.606654984748,0.495750260457168,13.3265789485527,1.62165156452066e-40,1.48105437387672e-36,3.06929991616826e-36
"98","100462983","MTRNR2L3","ENSG00000256222",595.764851162766,6.60456121131007,0.550595255842549,11.9953107863297,3.76003178442028e-33,1.71701851435552e-29,7.11623615519382e-29
"97","100462981","MTRNR2L2","ENSG00000269028",2081.33620354803,6.39191235290332,0.559248416720818,11.42946884031,2.97925612740799e-30,9.06984873720573e-27,5.63824222111963e-26
"99","100463285","MTRNR2L4","ENSG00000232196",296.995159921665,7.19923745484042,0.684795951938949,10.5129673072049,7.52867397996654e-26,1.71898448647586e-22,1.42472626396887e-21
"71","100288485","MTRNR2L7","ENSG00000256892",78.4646714310972,7.96126353395875,0.760410619282465,10.4696901017389,1.1903203980942e-25,2.17423923915886e-22,2.25244328931365e-21
"96","100462977","MTRNR2L1","ENSG00000256618",9800.23815790593,7.47595620938916,0.791565266564083,9.44452280206754,3.57027404360047e-21,5.43455214003385e-18,6.75567254530082e-17
"6786","6498","SKIL","ENSG00000136603",81.2038334926761,2.94599283186258,0.323822268985743,9.09756095863897,9.23831069104899e-20,1.20533559344786e-16,1.74798076585338e-15
"3495","3091","HIF1A","ENSG00000100644",230.303927616615,2.66412517954953,0.296862316508066,8.97427875281415,2.85214240491939e-19,3.2560770730161e-16,5.39625343010748e-15
"1440","153020","RASGEF1B","ENSG00000138670",119.906184802158,3.51291180996886,0.416708938386093,8.43013308899565,3.45272310175146e-17,3.50374667647734e-14,6.53220683620359e-13
"1979","221079","ARL5B","ENSG00000165997",49.4703396069757,3.26863583154485,0.391179710656594,8.35584193786137,6.49676538963959e-17,5.93349583035783e-14,1.22905807641202e-12
"5987","5743","PTGS2","ENSG00000073756",110.528489551891,5.23060142433605,0.639335777508618,8.18130567433408,2.80784625956695e-16,2.19982632457119e-13,5.3116027692228e-12
"1514","1604","CD55","ENSG00000196352",184.690464675489,2.26016829710101,0.276378042180531,8.1778142694298,2.89038825083262e-16,2.19982632457119e-13,5.46745841527498e-12
"101","100463482","MTRNR2L6","ENSG00000270672",16.4001895383838,7.31882827298554,0.961132059576379,7.61479986029321,2.64100372729042e-14,1.85540669548796e-11,4.99545855016983e-10
"102","100463482","MTRNR2L6","ENSG00000282017",16.4001895383838,7.31882827298554,0.961132059576379,7.61479986029321,2.64100372729042e-14,1.85540669548796e-11,4.99545855016983e-10
"222","10149","ADGRG2","ENSG00000173698",47.1639547100543,6.32361689670795,0.876305251596562,7.21622617824873,5.34501292849931e-13,3.4868573625703e-10,1.01095574529636e-08
"3776","3659","IRF1","ENSG00000125347",246.023681875602,2.41854967603774,0.348328364818533,6.94330384864788,3.83034329165124e-12,2.33216835217672e-09,7.2443282675e-08
